text,date,txt_len,isEnglish,isShibDoge
is,2021-01-01 00:05:00,4,True,True
is a for,2021-01-01 00:05:00,10,True,True
who else to with,2021-01-01 00:05:00,7,True,True
to the,2021-01-01 00:05:00,4,True,True
what did say about,2021-01-01 00:05:00,6,True,True
on,2021-01-01 00:05:00,4,True,True
i for and was i but not why,2021-01-01 00:05:00,18,True,True
anyone will take before,2021-01-01 00:05:00,12,True,True
have you your for the if so you will have to,2021-01-01 00:05:00,18,True,True
has someone on the has already been because i still have from this and i have not a so,2021-01-01 00:05:00,32,True,True
still not how can i to,2021-01-01 00:05:00,13,True,True
please of,2021-01-01 00:05:00,6,True,True
on,2021-01-01 00:05:00,7,True,True
someone for,2021-01-01 00:05:00,6,True,True
now why i my,2021-01-01 00:05:00,8,True,True
if is more than for who what will do in the,2021-01-01 00:05:00,18,True,True
has an but no for the is,2021-01-01 00:05:00,15,True,True
i but has an is a,2021-01-01 00:05:00,13,True,True
i,2021-01-01 00:05:00,5,True,True
to the,2021-01-01 00:05:00,4,True,True
be will go to,2021-01-01 00:05:00,8,True,True
what about,2021-01-01 00:05:00,4,True,True
when you a you its the there will be,2021-01-01 00:05:00,16,True,True
yet again,2021-01-01 00:05:00,5,True,True
what about,2021-01-01 00:05:00,4,True,True
for i to or which one is to make more,2021-01-01 00:05:00,18,True,True
i my of and into another made off mine just much the same,2021-01-01 00:05:00,31,True,True
here to not,2021-01-01 00:05:00,11,True,True
is,2021-01-01 00:05:00,5,True,True
if in a to much then to for with you could in,2021-01-01 00:05:00,30,True,True
any about,2021-01-01 00:05:00,4,True,True
will,2021-01-02 00:05:00,5,True,True
what do you have about,2021-01-02 00:05:00,8,True,True
for,2021-01-02 00:05:00,6,True,True
for,2021-01-02 00:05:00,6,True,True
that i did for the but nothing,2021-01-02 00:05:00,10,True,True
why is the of are,2021-01-02 00:05:00,9,True,True
you are the of our you have an out the top here with the of,2021-01-02 00:05:00,41,True,True
when was around the was now is a and the are still,2021-01-02 00:05:00,25,True,True
the of the nothing about,2021-01-03 00:05:00,13,True,True
anything about,2021-01-03 00:05:00,3,True,True
do someone about this,2021-01-03 00:05:00,8,True,True
does anyone why my being i the and now but i see my in any,2021-01-03 00:05:00,29,True,True
if you in the and your your will show in the on the,2021-01-03 00:05:00,22,True,True
you are about the and are you your in the did you to the as an,2021-01-03 00:05:00,30,True,True
can you please in the and then,2021-01-03 00:05:00,15,True,True
can i on,2021-01-03 00:05:00,5,True,True
should i at this,2021-01-03 00:05:00,7,True,True
any why is,2021-01-03 00:05:00,7,True,True
will also be last out the has nothing to back,2021-01-03 00:05:00,16,True,True
why i can my to i can just in,2021-01-03 00:05:00,18,True,True
why i my just in and not in or,2021-01-03 00:05:00,16,True,True
why i can my to,2021-01-03 00:05:00,10,True,True
i to my in to,2021-01-03 00:05:00,11,True,True
why i my to,2021-01-03 00:05:00,9,True,True
you are the of our you have an out the top here with the of,2021-01-03 00:05:00,41,True,True
how do you the i some,2021-01-03 00:05:00,18,True,True
to the,2021-01-03 00:05:00,5,True,True
is up by,2021-01-03 00:05:00,6,True,True
where can i,2021-01-03 00:05:00,6,True,True
will,2021-01-03 00:05:00,4,True,True
what is your on,2021-01-03 00:05:00,6,True,True
that what with on that they should and they did,2021-01-03 00:05:00,20,True,True
where is my of after or is this a by,2021-01-03 00:05:00,16,True,True
your did not your from the,2021-01-03 00:05:00,10,True,True
towards,2021-01-04 00:05:00,4,True,True
how to,2021-01-04 00:05:00,4,True,True
should i now,2021-01-04 00:05:00,5,True,True
to the,2021-01-04 00:05:00,4,True,True
is and still nothing in my with the,2021-01-04 00:05:00,17,True,True
,2021-01-04 00:05:00,3,True,True
the all,2021-01-04 00:05:00,11,True,True
in,2021-01-04 00:05:00,3,True,True
is is,2021-01-04 00:05:00,5,True,True
what you how much can go may,2021-01-04 00:05:00,15,True,True
why every the,2021-01-04 00:05:00,11,True,True
i just my and i have any and,2021-01-04 00:05:00,16,True,True
can anyone me how much up in next,2021-01-04 00:05:00,11,True,True
everyone is also with,2021-01-04 00:05:00,8,True,True
what about now,2021-01-04 00:05:00,6,True,True
and,2021-01-04 00:05:00,3,True,True
i used to then i an to the,2021-01-04 00:05:00,13,True,True
is this a to or still,2021-01-04 00:05:00,12,True,True
this the last was,2021-01-04 00:05:00,9,True,True
so you can the,2021-01-04 00:05:00,7,True,True
will until the then even more after on,2021-01-04 00:05:00,15,True,True
is,2021-01-04 00:05:00,3,True,True
is about to,2021-01-04 00:05:00,7,True,True
if we can get up before that would be,2021-01-04 00:05:00,17,True,True
it some but i to some in,2021-01-04 00:05:00,13,True,True
i really to why every up is that a,2021-01-04 00:05:00,18,True,True
to do with did this or when and now its again,2021-01-04 00:05:00,23,True,True
should i,2021-01-04 00:05:00,6,True,True
i see your down,2021-01-04 00:05:00,9,True,True
this is i have this as and the is the so do not get whenever,2021-01-04 00:05:00,32,True,True
is a to or should i,2021-01-04 00:05:00,11,True,True
is a if the,2021-01-04 00:05:00,13,True,True
do you will go up,2021-01-04 00:05:00,8,True,True
